"slc","ppe","egdd","esm","efm","eff","moistureDeduction","temperatureDeduction","basicClimateRating","springMoisture","fallMoisture","fallFrost","points","class"
432018,-8.3,912,42.1,76.4,0,0,68.8,31.2,9.21,7.64,0,25.9428,"5H"
531017,-94.7,1594,66.4,23.5,0,0,0.599999999999994,99.4,10,2.35,0,87.1241,"1"
946057,173,1394,148.3,155.8,0,0,20.6,79.4,10,10,0,63.52,"2H"
195019,-197.6,1083,10.9,27.3,0,9.52,51.7,48.3,6.09,2.73,0,44.03994,"4H"
377003,-144.7,1655,-4.3,23.9,0,0,0,101.06,4.57,2.39,0,94.026224,"1"
597005,-190.1,1323,-19.9,0,0,8.02,27.7,72.3,3.01,0,0,70.12377,"2H"
872005,-98.4,538,9.2,41.9,0,0,88.1,11.9,5.92,4.19,0,10.69691,"6H"
961021,-74.4,560,24.1,81.5,0,0,87,13,7.41,8.15,0,10.9772,"6H"
296010,29.8,705,37.4,88.4,0,0,79.75,20.25,8.74,8.84,0,16.69005,"6H"
738004,-247.8,1500,-23.3,-19.1,0,19.56,10,80.44,2.67,0,0,78.292252,"2A"
333010,-199.5,1103,5.2,36.6,0,9.9,49.7,50.3,5.52,3.66,0,45.68246,"3H"
